image name,movie type,color1_R,color1_G,color1_B,color2_R,color2_G,color2_B,color3_R,color3_G,color3_B,color4_R,color4_G,color4_B,color5_R,color5_G,color5_B,color6_R,color6_G,color6_B,color7_R,color7_G,color7_B,color8_R,color8_G,color8_B,color9_R,color9_G,color9_B,color10_R,color10_G,color10_B
action_1.jpg,action,222,222,222,86,40,34,20,11,11,219,155,147,97,91,92,184,28,19,239,238,240,150,149,150,198,199,202,191,93,81
action_10.jpg,action,223,222,222,4,5,6,101,105,101,42,50,51,178,162,156,71,78,76,212,194,46,18,25,28,136,134,130,215,194,188
action_11.jpg,action,155,93,77,222,222,222,69,79,79,29,20,20,189,183,175,62,42,39,149,135,132,130,167,167,106,67,53,110,108,106
action_12.jpg,action,207,155,97,94,84,67,222,220,218,43,37,30,117,102,83,147,125,100,212,188,159,171,151,129,68,58,47,11,7,9
action_13.jpg,action,196,118,135,222,222,222,98,60,74,55,46,110,44,33,64,104,73,123,150,75,110,206,167,182,142,119,161,17,10,29
action_14.jpg,action,90,58,68,222,223,221,184,83,104,142,58,83,208,206,200,50,52,52,174,139,127,237,237,233,122,106,104,183,172,161
action_15.jpg,action,223,222,222,57,62,71,196,186,168,116,119,119,35,37,53,161,104,69,233,219,193,93,61,47,159,151,138,85,89,94
action_16.jpg,action,222,222,222,10,92,120,163,59,68,99,87,83,44,96,124,7,108,151,55,55,34,75,135,157,159,146,109,225,30,40
action_17.jpg,action,223,222,223,104,29,27,178,174,177,178,40,29,149,146,149,20,17,15,116,112,112,201,198,200,66,62,58,180,101,96
action_18.jpg,action,120,76,47,222,222,222,188,152,109,31,20,13,142,111,85,238,178,69,236,206,129,208,117,37,248,242,195,73,50,35
action_19.jpg,action,153,112,71,222,222,222,4,3,3,136,160,157,38,30,25,196,161,118,93,104,102,223,200,170,78,64,53,164,202,205
action_2.jpg,action,51,36,43,222,222,222,172,161,114,249,250,248,65,112,146,156,175,180,124,148,157,198,201,199,64,73,82,102,112,113
action_20.jpg,action,222,222,222,28,24,21,106,104,97,79,74,68,8,6,6,157,142,126,53,46,40,248,245,232,201,198,190,137,80,47
action_21.jpg,action,222,221,221,118,105,96,17,15,14,212,172,65,198,33,28,83,68,61,249,249,248,154,144,137,196,186,175,50,35,32
action_22.jpg,action,39,40,32,221,221,221,152,148,115,79,76,54,188,184,151,131,125,89,181,169,118,56,55,41,26,27,21,103,99,71
action_23.jpg,action,222,222,222,10,12,19,94,97,106,39,42,53,133,135,142,179,180,181,129,100,70,68,67,71,22,25,36,198,153,100
action_24.jpg,action,221,222,222,15,33,31,101,170,160,3,3,3,9,75,69,170,218,205,44,106,99,72,135,129,132,196,184,46,63,60
action_25.jpg,action,222,222,222,25,31,28,98,98,85,68,72,64,169,156,128,6,9,8,43,50,45,204,191,161,244,234,209,131,126,106
action_26.jpg,action,98,98,94,222,222,221,10,7,6,161,157,135,45,37,26,79,77,72,196,191,163,133,128,111,66,58,46,22,18,15
action_27.jpg,action,27,25,25,222,222,222,98,96,93,134,130,125,200,24,41,67,67,65,11,11,10,45,45,45,116,25,29,172,168,163
action_28.jpg,action,143,66,64,223,223,222,64,55,50,197,180,167,36,31,26,121,107,98,219,205,192,175,156,142,91,81,74,152,131,117
action_3.jpg,action,130,137,138,222,222,222,32,34,34,82,89,90,198,197,195,64,69,69,18,20,20,105,112,112,164,165,165,47,50,50
action_4.jpg,action,92,26,21,222,222,222,5,5,13,176,81,60,56,50,50,145,38,33,139,118,107,172,158,150,99,80,73,39,18,20
action_5.jpg,action,45,40,23,222,222,221,126,127,98,187,190,149,106,96,62,247,248,228,219,222,183,76,68,41,164,160,108,20,18,9
action_6.jpg,action,102,28,27,222,222,222,22,19,18,145,128,127,70,58,58,170,41,38,108,95,94,185,170,169,234,234,234,49,27,26
action_7.jpg,action,222,222,222,82,80,72,139,136,119,32,26,22,116,116,105,71,61,50,13,10,8,165,162,145,53,43,34,99,99,88
action_8.jpg,action,193,194,198,48,56,53,119,137,142,222,222,222,124,113,97,7,10,10,175,158,138,26,32,30,88,80,65,153,169,180
action_9.jpg,action,222,222,221,101,15,48,70,77,93,155,151,136,249,249,247,17,15,76,185,16,34,193,189,172,112,112,111,36,47,79
animation_1.jpg,animation,223,222,222,187,46,39,14,12,11,205,97,69,246,245,243,154,142,140,123,23,23,208,204,203,89,78,77,222,139,111
animation_10.jpg,animation,222,222,222,68,56,58,250,250,250,173,155,155,42,34,36,111,96,98,209,208,212,183,89,62,14,11,12,237,237,237
animation_11.jpg,animation,248,250,251,33,41,91,222,222,222,114,123,151,14,19,26,90,95,118,149,152,171,194,197,203,34,37,53,62,67,87
animation_12.jpg,animation,221,221,221,5,4,5,172,83,30,227,138,33,110,102,101,172,147,130,108,49,23,62,65,73,242,203,61,42,25,23
animation_13.jpg,animation,236,245,248,121,83,62,143,157,160,222,222,222,222,86,44,142,201,222,33,24,16,199,228,238,199,195,191,200,137,111
animation_14.jpg,animation,221,221,221,21,40,72,17,21,32,54,81,110,134,132,133,68,66,67,44,42,42,7,7,9,102,96,96,173,173,176
animation_15.jpg,animation,19,15,15,222,222,221,109,91,91,69,53,55,116,55,45,164,131,116,220,193,158,45,26,26,81,32,27,154,87,67
animation_16.jpg,animation,190,210,217,221,72,43,222,223,223,44,35,27,148,150,147,228,180,161,241,245,246,195,115,94,159,192,204,115,78,61
animation_17.jpg,animation,225,223,224,216,93,61,122,144,175,154,53,38,180,170,174,236,185,154,172,197,225,131,103,102,213,132,111,52,39,38
animation_18.jpg,animation,236,122,34,222,222,222,152,95,53,41,46,35,244,194,24,80,89,120,219,197,164,204,138,82,242,160,33,85,77,47
animation_19.jpg,animation,84,87,93,223,223,222,158,151,137,56,60,70,196,186,168,160,102,68,114,118,118,91,60,47,233,219,193,34,37,52
animation_2.jpg,animation,221,222,221,49,70,97,12,12,14,118,123,129,95,151,172,173,177,158,29,42,57,66,100,127,135,225,233,234,251,250
animation_20.jpg,animation,222,222,222,110,101,92,246,246,247,194,188,181,21,16,12,142,133,124,238,235,232,212,207,201,169,162,153,68,61,54
animation_21.jpg,animation,106,224,245,85,88,76,158,191,197,106,161,181,145,129,100,50,174,234,48,50,41,46,132,184,218,219,217,185,147,138
